Timestamp,Vault,Chain,Type,Month,SharePrice,APY
2021-05-01 00:00:00+00:00,yvUSDC 0.2.2 - ETH,ETH,Stable,may/21,1.018613,0.0
2021-06-01 00:00:00+00:00,yvWETH 0.3.2 - ETH,ETH,ETH,jun/21,1.0120751414092888,0.03269346547365104
2021-06-01 00:00:00+00:00,yvYFI 0.3.2 - ETH,ETH,Altcoin,jun/21,1.0219069667088614,0.009422771245465977
2021-06-01 00:00:00+00:00,yvWBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.00673278,0.017811301160365334
2021-06-01 00:00:00+00:00,yvUSDC 0.3.0 - ETH,ETH,Stable,jun/21,1.057545,0.13824402839883354
2021-06-01 00:00:00+00:00,yvUSDT 0.3.5 - ETH,ETH,Stable,jun/21,1.007388,0.08549624863674965
2021-06-01 00:00:00+00:00,yvsUSD 0.3.3 - ETH,ETH,Stable,jun/21,1.0104857747503933,0.08917436842226456
2021-06-01 00:00:00+00:00,yvLINK 0.4.3 - ETH,ETH,Other,jun/21,1.0,
2021-06-01 00:00:00+00:00,yvSNX 0.3.5 - ETH,ETH,Altcoin,jun/21,1.015165480292304,0.1609095416956423
2021-06-01 00:00:00+00:00,yvUNI 0.3.5 - ETH,ETH,Altcoin,jun/21,1.0003895733474986,0.004599611520310409
2021-06-01 00:00:00+00:00,yv1INCH 0.3.2 - ETH,ETH,Altcoin,jun/21,1.0243010780546808,0.10383062804226295
2021-06-01 00:00:00+00:00,yvCurve-EURS 0.3.5 - ETH,ETH,Stable,jun/21,1.0011635449233485,0.013795223710862503
2021-06-01 00:00:00+00:00,yvCurve-LINK 0.3.5 - ETH,ETH,Altcoin,jun/21,1.0008027575057727,0.009499140773791881
2021-06-01 00:00:00+00:00,yvCurve-IB 0.3.2 - ETH,ETH,Other,jun/21,1.0469966784578872,0.11309402302368543
2021-06-01 00:00:00+00:00,yvCurve-3pool 0.3.5 - ETH,ETH,Other,jun/21,1.0025233211197626,0.030137577985799746
2021-06-01 00:00:00+00:00,yUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0006124888252563,0.00724022877842323
2021-06-01 00:00:00+00:00,yvCurve-Aave 0.3.5 - ETH,ETH,Altcoin,jun/21,1.0004027838429397,0.004755923939822937
2021-06-01 00:00:00+00:00,yvCurve-alUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.001904403239581,
2021-06-01 00:00:00+00:00,yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.007051104605209,0.08630791013684824
2021-06-01 00:00:00+00:00,yvCurve-Compound 0.3.5 - ETH,ETH,Altcoin,jun/21,1.004032043782872,0.04855192074739789
2021-06-01 00:00:00+00:00,yvCurve-DUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0077760861230696,0.09555774903253123
2021-06-01 00:00:00+00:00,yvCurve-FRAX 0.3.5 - ETH,ETH,Stable,jun/21,1.0061904506632813,0.07541987165822928
2021-06-01 00:00:00+00:00,yvCurve-GUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.004273348123786,0.05152488634705921
2021-06-01 00:00:00+00:00,yvCurve-HUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0,0.0
2021-06-01 00:00:00+00:00,yvCurve-LUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0268475862660602,0.33546361406625946
2021-06-01 00:00:00+00:00,yvCurve-mUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0040580069401779,0.048871427490355
2021-06-01 00:00:00+00:00,yvCurve-sAave 0.3.5 - ETH,ETH,Altcoin,jun/21,1.0112015462616175,0.12340531970904656
2021-06-01 00:00:00+00:00,yvCurve-sUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.001437870265728,0.017072947724712906
2021-06-01 00:00:00+00:00,yvCurve-TUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0000002573859144,3.032529202195988e-06
2021-06-01 00:00:00+00:00,yvCurve-USDN 0.3.5 - ETH,ETH,Stable,jun/21,1.0020975966876604,0.024995307241967524
2021-06-01 00:00:00+00:00,yvCurve-USDP 0.3.5 - ETH,ETH,Stable,jun/21,1.003353293606073,0.04023064766626061
2021-06-01 00:00:00+00:00,yvCurve-UST 0.3.5 - ETH,ETH,Stable,jun/21,1.0027261480264442,0.03259579183149186
2021-06-01 00:00:00+00:00,yvCurve-BUSD 0.3.5 - ETH,ETH,Stable,jun/21,1.0015114526984457,-1.0
2021-06-01 00:00:00+00:00,yvsteCRV 0.3.0 - ETH,ETH,Other,jun/21,1.064264356952679,0.07812687298031773
2021-06-01 00:00:00+00:00,yveCRV 0.3.2 - ETH,ETH,Other,jun/21,1.8912744694645618,0.08797528185333481
2021-06-01 00:00:00+00:00,yvCurve-ankrETH 0.3.5 - ETH,ETH,ETH,jun/21,1.0009350267391328,0.011072201050593478
2021-06-01 00:00:00+00:00,yvCurve-rETH 0.3.5 - ETH,ETH,ETH,jun/21,1.0006882958134082,
2021-06-01 00:00:00+00:00,yvhCRV 0.3.3 - ETH,ETH,Other,jun/21,1.0153240249121027,0.1025530165505375
2021-06-01 00:00:00+00:00,yvCurve-sBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.001906800109385,0.015477810023370564
2021-06-01 00:00:00+00:00,yvCurve-pBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.010106857904185,0.1138442275328706
2021-06-01 00:00:00+00:00,yvCurve-BBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.0,0.0
2021-06-01 00:00:00+00:00,yvCurve-tBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.0012648816433838,0.015004898600513128
2021-06-01 00:00:00+00:00,yvCurve-oBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.0106301170100505,0.10759446359274771
2021-06-01 00:00:00+00:00,yvCurve-renBTC 0.3.5 - ETH,ETH,BTC,jun/21,1.0054893278583492,0.062272463724396765
2021-06-01 00:00:00+00:00,yvHEGIC 0.3.0 - ETH,ETH,Altcoin,jun/21,1.0109861081781109,0.032028509207696176
2021-06-01 00:00:00+00:00,yvBOOST 0.3.5 - ETH,ETH,Altcoin,jun/21,1.026394644891216,0.2649274006855451
2021-06-01 00:00:00+00:00,yvDAI 0.3.0 - ETH,ETH,Stable,jun/21,1.0474130221808817,0.1112808711441613
2021-06-01 00:00:00+00:00,yvWBTC 0.3.1 - ETH,ETH,BTC,jun/21,1.00298589,4.698777609224436e-07
2021-06-01 00:00:00+00:00,yvDAI 0.2.2 - ETH,ETH,Stable,jun/21,1.019174762524669,0.0
2021-06-01 00:00:00+00:00,yvUSDC 0.2.2 - ETH,ETH,Stable,jun/21,1.018613,0.0
2021-07-01 00:00:00+00:00,yvCurve-USDT 0.3.5 - ETH,ETH,Stable,jul/21,1.0,
2021-07-01 00:00:00+00:00,yvCurve-USDK 0.3.5 - ETH,ETH,Stable,jul/21,1.0,
2021-07-01 00:00:00+00:00,yvCurve-Pax 0.3.5 - ETH,ETH,Stable,jul/21,1.0,
